category,class_CD,class_CF,class_CG,class_GA,classification,common_name_english_CM_doc,country,scientific_name_CD_final,scientific_name_CM_final,scientific_name_label,source_document
LC,placeholder,placeholder,placeholder,placeholder,A,Beecroft's flying squirrel,CM,,Anomalurus beecrofti,Typo,0053 français-1
LC,Annex 2,A,placeholder,placeholder,A,Caracal,CM,,Caracal caracal,Re-classified,0053 français-1
LC,Annex 2,C,placeholder,placeholder,A,Agile mangabey,CM,,Cercocebus agilis,Match,0053 français-1
LC,Annex 2,C,Annex 2A,placeholder,A,De Brazza's Monkey,CM,,Cercopithecus neglectus,Match,0053 français-1
VU,Annex 2,placeholder,placeholder,placeholder,A,Hoest Monkey,CM,,Allochrocebus lhoesti,Not extant in country && Re-classified,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,A,"Preuss's Guenon, Preuss's Monkey, Preusss Monkey",CM,,Allochrocebus preussi,Re-classified,0053 français-1
VU,Annex 2,placeholder,placeholder,placeholder,A,"African Golden Cat, Golden Cat",CM,,Caracal aurata,Re-classified,0053 français-1
LC,Annex 2,A,Annex 1,Annex 1,A,Water chevrotain,CM,,Hyemoschus aquaticus,Match,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,A,Chimpanzee,CM,,Pan troglodytes ssp. ellioti,Refined to subspecies,0053 français-1
EN,Annex 1,A,Annex 1,Annex 1,A,Chimpanzee,CM,,Pan troglodytes ssp. troglodytes,Additional species or subspecies extant in country,0053 français-1
LC,placeholder,A,placeholder,placeholder,A,Eastern balck and white colobus,CM,,Colobus guereza,Match,0053 français-1
VU,placeholder,placeholder,Annex 1,placeholder,A,Black colobus,CM,,Colobus satanas ssp. anthracinus,Refined to subspecies,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,A,"Topi, Tsessebe",CM,,Damaliscus lunatus ssp. korrigum,Typo,0053 français-1
EN,placeholder,placeholder,placeholder,Annex 1,A,Drill,CM,,Mandrillus leucophaeus,Match,0053 français-1
CR,Annex 1,B,Annex 1,Annex 1,A,African Forest Elephant,CM,,Loxodonta cyclotis,Match,0053 français-1
EN,Annex 1,B,placeholder,placeholder,A,African Bush Elephant,CM,,Loxodonta africana,Match,0053 français-1
NT,placeholder,placeholder,placeholder,placeholder,A,Allen's bush baby,CM,,Sciurocheirus alleni,Re-classified,0053 français-1
VU,placeholder,placeholder,placeholder,placeholder,A,Red-fronted gazelle,CM,,Eudorcas rufifrons,Resolved from multiple species names,0053 français-1
VU,Annex 1,placeholder,placeholder,placeholder,A,Giraffe,CM,,Giraffa camelopardalis,Match,0053 français-1
CR,Annex 1,A,Annex 1,Annex 1,A,Gorilla,CM,,Gorilla gorilla ssp. gorilla,Refined to subspecies,0053 français-1
CR,placeholder,placeholder,placeholder,placeholder,A,Gorilla,CM,,Gorilla gorilla ssp. diehli,Additional species or subspecies extant in country,0053 français-1
VU,Annex 1,A,placeholder,placeholder,A,"Cheetah, Hunting Leopard",CM,,Acinonyx jubatus,Extinct in country && Typo,0053 français-1
VU,Annex 1,A,Annex 1,Annex 1,A,"Common Hippopotamus, Hippopotamus",CM,,Hippopotamus amphibius,Match,0053 français-1
VU,Annex 1,A,Annex 1,placeholder,A,"African Lion, Lion",CM,,Panthera leo,Match,0053 français-1
EN,Annex 1,A,placeholder,placeholder,A,"African Wild Dog, Cape Hunting Dog, Painted",CM,,Lycaon pictus,Extinct in country,0053 français-1
NT,placeholder,placeholder,Annex 1,Annex 1,A,Mandrill,CM,,Mandrillus sphinx,Match,0053 français-1
EN,placeholder,placeholder,Annex 2A,placeholder,A,White-collared Mangabey,CM,,Cercocebus torquatus,Match,0053 français-1
VU,placeholder,placeholder,placeholder,placeholder,A,Red-eared Guenon,CM,,Cercopithecus erythrotis ssp. camerunensis,Refined to subspecies,0053 français-1
LC,Annex 1,A,Annex 1,Annex 1,A,Aadwark,CM,,Orycteropus afer,Match,0053 français-1
EN,Annex 2,placeholder,Annex 1,placeholder,A,"African White-bellied Pangolin, White-bellied Pangolin",CM,,Phataginus tricuspis,Resolved from multiple species names,0053 français-1
VU,Annex 2,placeholder,placeholder,placeholder,A,"Black-bellied Pangolin, Long-tailed Pangolin, Tree Pangolin",CM,,Phataginus tetradactyla,Resolved from multiple species names,0053 français-1
EN,Annex 1,A,Annex 1,Annex 1,A,"Giant Ground Pangolin, Giant Pangolin",CM,,Smutsia gigantea,Match,0053 français-1
VU,Annex 2,A,Annex 1,Annex 1,A,Leopard,CM,,Panthera pardus,Match,0053 français-1
NT,Annex 2,placeholder,placeholder,placeholder,A,Potto gibbon,CM,,Perodicticus potto,Not extant in country,0053 français-1
NT,placeholder,placeholder,placeholder,placeholder,A,Angwantibo,CM,,Arctocebus calabarensis,Typo,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,A,Mountain reebuck,CM,,Redunca fulvorufula ssp. adamauae,Refined to subspecies,0053 français-1
CR,placeholder,A,placeholder,placeholder,A,"Black Rhinoceros, Hook-lipped rhinoceros",CM,,Diceros bicornis,Extinct in country,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,A,Striped pole cate,CM,,Ictonyx striatus,Match,0053 français-1
LC,Annex 1,placeholder,Annex 1,Annex 1,A,Humback Whale,CM,,Megaptera novaeangliae,Match,0053 français-1
CR,placeholder,placeholder,Annex 1,placeholder,A,Atlantic Humpacked Dolphin,CM,,Sousa teuszii,Match,0053 français-1
LC,placeholder,placeholder,Annex 1,placeholder,A,Short-beaked common dolphin,CM,,Delphinus delphis,Match,0053 français-1
VU,placeholder,placeholder,Annex 1,placeholder,A,Sperm whale,CM,,Physeter macrocephalus,Match,0053 français-1
VU,Annex 1,A,Annex 1,Annex 1,A,"African Manatee, Sea Cow, West African Manatee",CM,,Trichechus senegalensis,Match,0053 français-1
NT,Annex 2,placeholder,placeholder,placeholder,A,"African Clawless Otter, Cape Clawless Otter",CM,,Aonyx capensis,Refined from subspecies,0053 français-1
VU,placeholder,placeholder,placeholder,placeholder,A,Eastern Imperial Eagle,CM,,Aquila heliaca,Typo,0053 français-1
VU,Annex 2,placeholder,Annex 1,placeholder,A,Tawny Eagle,CM,,Aquila rapax,Typo,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,A,Bamenda Apalis,CM,,Apalis bamendae,Match,0053 français-1
LC,placeholder,A,placeholder,placeholder,A,Ostrich,CM,,Struthio camelus,Match,0053 français-1
EN,Annex 2,placeholder,Annex 1,placeholder,A,Bateleur,CM,,Terathopius ecaudatus,Typo,0053 français-1
NT,placeholder,C,placeholder,placeholder,A,Great Snipe,CM,,Gallinago media,Match,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,A,African Skimmer,CM,,Rynchops flavirostris,Match,0053 français-1
VU,Annex 1,A,placeholder,placeholder,A,Shoebill,CM,,Balaeniceps rex,Not extant in country,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,A,Bangwa forest Warbler,CM,,Bradypterus bangwaensis,Match,0053 français-1
NT,placeholder,placeholder,placeholder,placeholder,A,Dja river Warbler,CM,,Bradypterus grandis,Match,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,A,Grey -headed Greenbul,CM,,Phyllastrephus poliocephalus,Match,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,A,Cameroon Montane Greenbul,CM,,Arizelocichla montana,Re-classified,0053 français-1
NT,Annex 2,placeholder,placeholder,placeholder,A,Pallid Harrier,CM,,Circus macrourus,Match,0053 français-1
VU,placeholder,placeholder,placeholder,placeholder,A,Yellow-casqued Hornbill,CM,,Ceratogymna elata,Match,0053 français-1
LC,Annex 1,placeholder,placeholder,placeholder,A,White stork,CM,,Ciconia ciconia,Typo,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,A,Black stork,CM,,Ciconia nigra,Match,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,A,Dorst's Cisticola,CM,,Cisticola dorsti,Match,0053 français-1
DD,placeholder,placeholder,placeholder,placeholder,A,Eastern Wattled Cuckoo-Shrike,CM,,Lobotos oriolinus,Match,0053 français-1
